City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
2,Rio De Janeiro,BR,84,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
7,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
8,Rikitea,PF,76.41,scattered clouds,-23.1203,-134.9692,People ThankYou
9,Namibe,AO,74.14,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
10,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
11,Nouadhibou,MR,71.58,dust,20.931,-17.0347,El Medina
17,Port Blair,IN,83.57,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
25,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Gizo,SB,81.72,overcast clouds,-8.103,156.8419,Imagination Island
27,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Valparaiso,CL,70.03,clear sky,-33.0393,-71.6273,Hotel Ultramar
32,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
34,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
42,Srandakan,ID,78.17,overcast clouds,-7.9386,110.2506,Puri Brata
44,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
50,Tutoia,BR,81.72,overcast clouds,-2.7619,-42.2744,Pousada Guará's
51,Hilo,US,73.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Culebra,PR,82.44,overcast clouds,18.303,-65.301,Palmetto Guesthouse
54,Jurado,CO,83.19,light rain,7.1053,-77.7641,
63,Hamilton,US,75.29,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
65,Satipo,PE,85.05,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
66,Bengkulu,ID,76.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Sobradinho,BR,80.4,overcast clouds,-12.8333,-39.1,Pousada Pau Brasil
72,Oranjestad,AW,80.47,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
73,Kapaa,US,74.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Caravelas,BR,83.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
85,Los Llanos De Aridane,ES,68.13,clear sky,28.6585,-17.9182,Valle Aridane
88,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
90,Sinnamary,GF,82.81,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
91,Tura,IN,70.38,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
94,Banda Aceh,ID,81.03,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
96,Atambua,ID,72.52,broken clouds,-9.1061,124.8925,Kost Alfa Flat
97,Kandrian,PG,77.09,light rain,-6.2167,149.55,Kandrian Station
100,Tarimoro,MX,83.59,scattered clouds,20.2833,-100.75,Auto Lavado Privado
103,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
104,Noumea,NC,77,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
110,Jibuti,DJ,81.5,few clouds,11.5,42.5,Orchid Main Camp Goubet
113,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
115,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
116,Hualmay,PE,70.03,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
117,Buchanan,LR,84.33,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
121,Paramonga,PE,69.6,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
122,Karema,TZ,73.22,scattered clouds,-6.8205,30.4389,
127,Mogadishu,SO,83.88,overcast clouds,2.0371,45.3438,Hotel Juba
132,Alyangula,AU,79.11,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
134,Muisne,EC,80.98,overcast clouds,0.6,-80.0333,Quinta Samay
135,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
142,Westport,US,72.28,clear sky,41.1415,-73.3579,The Inn at Longshore
143,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
144,Lorengau,PG,81.25,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
148,Kieta,PG,78.33,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
149,Abnub,EG,85.82,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
151,Cabo San Lucas,MX,83.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
152,Castro,BR,72.93,few clouds,-24.7911,-50.0119,CHACARA BAILLY
153,Namatanai,PG,78.93,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
154,Meulaboh,ID,77.68,overcast clouds,4.1363,96.1285,Kost Pria
159,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
163,Maua,BR,85.06,scattered clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
167,Ishigaki,JP,68.13,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
174,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
182,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
184,Dingle,PH,77.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
185,Del Rio,US,77.02,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
188,Nacala,MZ,74.77,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
190,Karratha,AU,82.17,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
192,Baculin,PH,77.85,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
193,Muana,BR,78.73,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
200,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
202,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
205,Sao Filipe,CV,75.7,clear sky,14.8961,-24.4956,Hotel Xaguate
206,Sayyan,YE,68.54,broken clouds,15.1718,44.3244,ملاطف ابوحورية
208,Asfi,MA,68.02,clear sky,32.2994,-9.2372,Hôtel Abda
210,Pokhara,NP,68.22,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
211,Gamba,GA,79.03,moderate rain,-2.65,10,
212,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
214,Marsh Harbour,BS,75.52,light rain,26.5412,-77.0636,Abaco Beach Resort
215,Thinadhoo,MV,85.96,broken clouds,0.5333,72.9333,
218,Pedasi,PA,82.62,overcast clouds,7.5333,-80.0333,Selina Pedasi
219,Bethel,US,70.18,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
