City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Todi,42.7799,12.4046,52.83,63,0,7.14,IT,4/29/22 2:06
1,Punta Arenas,-53.15,-70.9167,42.12,75,99,17.22,CL,4/29/22 2:02
2,Puerto Ayora,-0.7393,-90.3518,71.76,91,3,6.98,EC,4/29/22 2:06
3,Yellowknife,62.456,-114.3525,33.57,64,25,18.99,CA,4/29/22 2:06
4,Kerman,30.2832,57.0788,55.26,33,0,4.61,IR,4/29/22 2:06
5,Rikitea,-23.1203,-134.9692,77.05,69,0,18.34,PF,4/29/22 2:06
6,Mataura,-46.1927,168.8643,57.47,62,8,0.92,NZ,4/29/22 2:03
7,Kampong Thum,12.7111,104.8887,86.58,65,99,7.02,KH,4/29/22 2:06
8,Mishelevka,52.8575,103.1719,43.02,75,100,5.55,RU,4/29/22 2:06
9,Tiksi,71.6872,128.8694,18.9,81,83,8.39,RU,4/29/22 2:00
10,Umba,66.6871,34.3429,23.56,86,100,7.9,RU,4/29/22 2:06
11,Champerico,14.3,-91.9167,85.03,65,6,4.79,GT,4/29/22 2:07
12,Hermanus,-34.4187,19.2345,60.98,89,100,6.64,ZA,4/29/22 2:01
13,Albany,42.6001,-73.9662,44.35,34,0,10,US,4/29/22 2:00
14,Talnakh,69.4865,88.3972,16.21,78,100,4.05,RU,4/29/22 2:07
15,Vernon,50.2581,-119.2691,57.76,32,43,3,CA,4/29/22 2:07
16,Milove,49.3787,40.1302,51.49,67,100,5.01,UA,4/29/22 2:07
17,Mattru,7.6244,-11.8332,73.08,92,100,0.54,SL,4/29/22 2:07
18,Vaini,-21.2,-175.2,78.31,68,100,26.02,TO,4/29/22 2:02
19,Avarua,-21.2078,-159.775,80.65,83,20,12.66,CK,4/29/22 2:03
20,Ushuaia,-54.8,-68.3,40.66,81,40,28.77,AR,4/29/22 1:59
21,Hobart,-42.8794,147.3294,72.27,71,75,12.66,AU,4/29/22 2:04
22,Malinyi,-8.9333,36.1333,66.45,96,29,2.75,TZ,4/29/22 2:07
23,Zvornik,44.3869,19.1014,44.65,95,14,2.98,BA,4/29/22 2:07
24,Saint-Philippe,-21.3585,55.7679,74.79,79,46,13.11,RE,4/29/22 2:04
25,Jamestown,42.097,-79.2353,35.71,60,0,3.44,US,4/29/22 2:04
26,Saldanha,-33.0117,17.9442,60.12,86,37,9.28,ZA,4/29/22 2:05
27,New Norfolk,-42.7826,147.0587,71.92,76,100,5.01,AU,4/29/22 2:00
28,Cape Town,-33.9258,18.4232,60.89,88,100,1.99,ZA,4/29/22 2:00
29,Bluff,-46.6,168.3333,57.79,69,35,4.21,NZ,4/29/22 2:02
30,Half Moon Bay,37.4636,-122.4286,60.19,69,0,28.77,US,4/29/22 2:07
31,Agnibilekrou,7.1344,-3.2047,72.46,91,99,1.03,CI,4/29/22 2:07
32,Bambous Virieux,-20.3428,57.7575,74.21,94,40,4.61,MU,4/29/22 2:03
33,Shatrovo,56.5167,64.6333,45.09,67,87,11.88,RU,4/29/22 2:07
34,Saint-Francois,46.4154,3.9054,44.67,93,0,3.44,FR,4/29/22 2:07
35,Georgetown,5.4112,100.3354,85.95,79,20,0,MY,4/29/22 2:02
36,Atuona,-9.8,-139.0333,79.36,74,58,19.62,PF,4/29/22 2:02
37,Busselton,-33.65,115.3333,62.6,59,3,1.48,AU,4/29/22 2:00
38,Caravelas,-17.7125,-39.2481,74.3,87,0,4.14,BR,4/29/22 2:07
39,Whitehorse,60.7161,-135.0538,46.31,33,100,4,CA,4/29/22 2:05
40,Dunedin,-45.8742,170.5036,58.8,65,0,1.99,NZ,4/29/22 2:07
41,Bredasdorp,-34.5322,20.0403,56.57,95,100,6.44,ZA,4/29/22 2:00
42,Port-Gentil,-0.7193,8.7815,80.42,80,100,6.93,GA,4/29/22 2:08
43,Arraial Do Cabo,-22.9661,-42.0278,75.25,88,1,19.19,BR,4/29/22 2:08
44,Dikson,73.5069,80.5464,9.77,91,22,20.69,RU,4/29/22 2:02
45,Purranque,-40.9167,-73.1667,34.29,97,5,1.99,CL,4/29/22 2:08
46,Zhezkazgan,47.8043,67.7144,51.78,58,0,13.42,KZ,4/29/22 2:08
47,Faanui,-16.4833,-151.75,81.46,72,0,21.54,PF,4/29/22 2:00
48,Kysyl-Syr,63.8986,122.7617,36.37,79,17,3.6,RU,4/29/22 2:08
49,Nouadhibou,20.931,-17.0347,64.31,85,75,20.2,MR,4/29/22 2:08
